,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
80,Cruel and Beautiful World,Never Trust a Happy Song,Grouplove,2011-09-13,243240,7,0.479,0.253,0.479,0.457,0.0,0.105,-6.224,0.0277,129.766,3
81,Close Your Eyes and Count to Ten,Never Trust a Happy Song,Grouplove,2011-09-13,288506,5,0.406,0.0062,0.406,0.758,0.0,0.0904,-6.451,0.0366,90.926,4
82,Je Pense Toujours a Toi,Never Trust a Happy Song,Grouplove,2011-09-13,142024,4,0.473,0.937,0.473,0.419,0.0809,0.141,-10.23,0.0312,100.732,4
83,A Grouplove Christmas,A Grouplove Christmas,Grouplove,2020-10-30,207732,33,0.54,0.893,0.54,0.377,0.00246,0.124,-7.549,0.0269,129.06,4
84,Broken Angel,Broken Angel,Grouplove,2020-10-16,372280,50,0.511,0.354,0.511,0.334,1.93e-05,0.195,-7.34,0.0293,121.506,4
85,Trip on Me,Broken Angel,Grouplove,2020-10-16,229920,43,0.478,0.11,0.478,0.761,0.0608,0.111,-6.648,0.0427,163.864,4
86,Inside Out - Austin Millz Remix,Inside Out (Austin Millz Remix),Grouplove,2020-08-28,208253,36,0.656,0.184,0.656,0.739,2.03e-05,0.145,-7.456,0.161,118.015,4
87,Inside Out,Inside Out (Austin Millz Remix),Grouplove,2020-08-28,208000,23,0.578,0.254,0.578,0.856,0.0,0.37,-5.852,0.247,112.073,4
88,Inside Out - DvDx Remix,Inside Out (DvDx Remix),Grouplove,2020-08-14,172146,34,0.703,0.0563,0.703,0.674,1.37e-06,0.226,-7.864,0.118,140.017,4
89,Inside Out,Inside Out (DvDx Remix),Grouplove,2020-08-14,208000,20,0.578,0.254,0.578,0.856,0.0,0.37,-5.852,0.247,112.073,4
90,Inside Out (Yuno Remix),Inside Out (Yuno Remix),Grouplove,2020-08-07,237770,35,0.494,0.0063,0.494,0.524,0.00724,0.311,-8.884,0.0437,104.017,4
91,Inside Out,Inside Out (Yuno Remix),Grouplove,2020-08-07,208000,24,0.578,0.254,0.578,0.856,0.0,0.37,-5.852,0.247,112.073,4
92,Dancing On My Own,Dancing On My Own,Grouplove,2020-06-25,197967,44,0.55,0.00014,0.55,0.821,0.0111,0.164,-8.113,0.0312,119.076,4
93,Inside Out,Dancing On My Own,Grouplove,2020-06-25,208000,24,0.578,0.254,0.578,0.856,0.0,0.37,-5.852,0.247,112.073,4
94,Deleter - ayokay Remix,Deleter (ayokay Remix),Grouplove,2020-04-24,206133,38,0.573,0.0712,0.573,0.681,2.4e-06,0.151,-6.602,0.047,160.012,4
95,Deleter,Deleter (ayokay Remix),Grouplove,2020-04-24,234386,18,0.421,3.81e-06,0.421,0.991,0.0468,0.13,-3.678,0.124,159.998,4
96,Deleter - Acoustic Version,Deleter (Acoustic Version),Grouplove,2020-04-03,217960,30,0.53,0.321,0.53,0.424,0.0,0.0991,-6.381,0.0286,78.092,4
97,Deleter,Deleter (Acoustic Version),Grouplove,2020-04-03,234386,18,0.421,3.81e-06,0.421,0.991,0.0466,0.13,-3.678,0.124,159.998,4
98,Inside Out,Inside Out,Grouplove,2020-03-09,208000,39,0.578,0.254,0.578,0.856,0.0,0.37,-5.852,0.247,112.076,4
99,Deleter,Inside Out,Grouplove,2020-03-09,234386,16,0.421,3.81e-06,0.421,0.991,0.0466,0.13,-3.678,0.124,159.998,4
100,Upside Down (feat. Grouplove),Upside Down (feat. Grouplove),Whethan,2020-02-28,216045,56,0.51,0.00964,0.51,0.748,0.00163,0.161,-5.955,0.0776,164.982,3
101,Deleter - DJDS Remix,Deleter (DJDS Remix),Grouplove,2020-02-07,194453,25,0.379,0.0127,0.379,0.577,5.41e-05,0.239,-7.231,0.0484,91.007,4
102,Deleter,Deleter (DJDS Remix),Grouplove,2020-02-07,234386,22,0.421,3.81e-06,0.421,0.991,0.0466,0.13,-3.678,0.124,159.998,4
103,Remember That Night - Eden Prince Remix,Remember That Night (Eden Prince Remix),Grouplove,2017-12-01,210010,15,0.793,0.02,0.793,0.657,0.000992,0.0483,-5.847,0.107,119.979,4
104,Remember That Night,Remember That Night,Grouplove,2017-11-17,183405,20,0.412,0.00685,0.412,0.918,0.0,0.0958,-3.525,0.285,112.228,4
105,Remember That Night - SAINT WKND Remix,Remember That Night (SAINT WKND Remix),Grouplove,2017-11-10,168750,25,0.68,0.055,0.68,0.711,0.0,0.737,-4.081,0.0382,123.965,4
106,Good Morning - KXA Remix,Good Morning (KXA Remix),Grouplove,2017-05-12,248006,15,0.494,0.155,0.494,0.63,0.0,0.097,-5.729,0.04,89.885,4
107,Tell Me a Story,Little Mess EP,Grouplove,2017-04-22,285866,36,0.344,0.0973,0.344,0.381,0.00446,0.0995,-9.051,0.0289,122.925,3
108,Torso,Little Mess EP,Grouplove,2017-04-22,304400,41,0.563,0.144,0.563,0.602,0.000222,0.0613,-7.245,0.0323,113.261,4
109,MRI,Little Mess EP,Grouplove,2017-04-22,228760,27,0.45,0.021,0.45,0.556,0.0671,0.106,-4.677,0.0309,142.051,4
110,Enlighten Me - Live,Little Mess EP,Grouplove,2017-04-22,333813,17,0.321,0.483,0.321,0.527,0.0,0.747,-8.083,0.0399,80.58,4
111,Adios Amigos,Little Mess EP,Grouplove,2017-04-22,222986,32,0.405,0.000881,0.405,0.826,3.86e-06,0.886,-5.151,0.0831,92.933,4
112,Good Morning - PINES Remix,Good Morning (PINES Remix),Grouplove,2017-04-14,286360,39,0.253,0.0002,0.253,0.731,0.00217,0.251,-6.174,0.0602,99.641,4
113,Good Morning - Acoustic,Good Morning (Acoustic),Grouplove,2017-03-31,180360,22,0.561,0.0069,0.561,0.632,0.0,0.0307,-5.591,0.0337,94.95,4
114,Good Morning - MUNA Remix,Good Morning (MUNA Remix),Grouplove,2017-03-24,210285,10,0.458,0.0731,0.458,0.724,0.000376,0.104,-12.097,0.0771,104.859,4
115,Good Morning - Tigertown Remix,Good Morning (Tigertown Remix),Grouplove,2017-03-03,204287,15,0.658,0.0142,0.658,0.881,0.00406,0.0683,-6.682,0.0558,104.023,4
116,Good Morning - Madison Mars Remix,Good Morning (Madison Mars Remix),Grouplove,2017-02-03,209000,23,0.543,0.0114,0.543,0.84,0.0,0.0576,-3.144,0.0872,105.982,4
117,Welcome to Your Life - Recorded at Spotify Studios NYC,Spotify Singles,Grouplove,2016-11-30,225090,26,0.52,0.0381,0.52,0.737,0.0,0.0681,-5.781,0.0437,183.503,4
118,One More Cup of Coffee - Recorded at Spotify Studios NYC,Spotify Singles,Grouplove,2016-11-30,201851,40,0.543,0.0647,0.543,0.659,1.27e-06,0.0843,-6.074,0.0322,134.574,4
119,Welcome to Your Life - Gigamesh Remix,Welcome to Your Life Remix EP,Grouplove,2016-11-04,231250,23,0.731,0.00709,0.731,0.737,0.052,0.0561,-5.057,0.0417,96.011,4
120,Welcome to Your Life - Taylor Wise Remix,Welcome to Your Life Remix EP,Grouplove,2016-11-04,248812,16,0.523,0.121,0.523,0.789,0.00106,0.143,-5.449,0.0302,95.05,4
121,Welcome to Your Life - Sweekuh Remix,Welcome to Your Life Remix EP,Grouplove,2016-11-04,185000,13,0.662,0.276,0.662,0.719,3.65e-06,0.0989,-5.121,0.039,96.068,4
122,Welcome to Your Life - Lucas Nord Remix,Welcome to Your Life Remix EP,Grouplove,2016-11-04,186000,24,0.6,0.214,0.6,0.668,2.48e-05,0.316,-6.725,0.236,97.036,4
123,No Drama Queen - Paper Towns Soundtrack Version,No Drama Queen,Grouplove,2015-06-23,164333,30,0.481,0.0106,0.481,0.787,0.000646,0.0881,-5.132,0.0312,143.09,4
124,I'm with You - Sylvan Esso Remix,I'm with You (Sylvan Esso Remix),Grouplove,2014-06-24,210505,8,0.628,0.162,0.628,0.673,0.000715,0.0486,-11.223,0.0431,139.998,4
125,Shark Attack,Shark Attack EP,Grouplove,2014-05-16,238626,3,0.449,0.000264,0.449,0.635,4.65e-05,0.332,-7.557,0.0397,166.04,4
126,Shark Attack - Viceroy Remix,Shark Attack EP,Grouplove,2014-05-16,233337,0,0.587,0.000304,0.587,0.924,0.00015,0.265,-5.251,0.136,166.101,4
127,Shark Attack - Captain Cuts Remix,Shark Attack EP,Grouplove,2014-05-16,268373,1,0.581,0.00144,0.581,0.691,2.9e-05,0.665,-7.065,0.0395,166.087,4
128,Shark Attack - Dualist Inquiry Remix,Shark Attack EP,Grouplove,2014-05-16,233777,0,0.65,0.0557,0.65,0.614,0.0991,0.0796,-7.704,0.0449,75.48,4
129,Let Me In - From The Fault in Our Stars Soundtrack,Let Me In,Grouplove,2014-04-29,239657,54,0.476,0.00397,0.476,0.744,0.000173,0.0982,-6.602,0.0515,127.934,4
130,Shark Attack - Captain Cuts Remix,Shark Attack (Captain Cuts Remix),Grouplove,2014-03-25,268373,14,0.581,0.00144,0.581,0.691,2.9e-05,0.665,-7.065,0.0395,166.087,4
131,Don't Worry Baby - Single Version,Don't Worry Baby,Grouplove,2014-03-17,186590,14,0.618,0.0144,0.618,0.711,5.3e-06,0.132,-6.567,0.0437,132.037,4
132,Colours - Live from the Seesaw Tour,I'm with You,Grouplove,2014-03-04,336532,13,0.362,0.00433,0.362,0.859,0.0,0.387,-5.295,0.0706,97.615,4
133,Schoolboy - Live from the Seesaw Tour,I'm with You,Grouplove,2014-03-04,261346,10,0.529,0.0115,0.529,0.831,1.12e-06,0.931,-5.14,0.0471,113.693,4
134,I'm with You - Live from the Seesaw Tour,I'm with You,Grouplove,2014-03-04,326173,13,0.463,0.00988,0.463,0.925,0.00928,0.187,-5.089,0.131,140.068,4
135,Raspberry - Live Acoustic from the Seesaw Tour,I'm with You,Grouplove,2014-03-04,200640,11,0.365,0.0344,0.365,0.749,0.0,0.94,-4.721,0.0518,102.657,4
136,Ways to Go - Live from the Seesaw Tour - Acoustic,I'm with You,Grouplove,2014-03-04,243920,12,0.523,0.0654,0.523,0.852,0.0,0.681,-4.517,0.0365,96.744,4
137,Gold Coast - Live Acoustic from the Seesaw Tour,I'm with You,Grouplove,2014-03-04,352680,11,0.481,0.11,0.481,0.463,0.0,0.633,-7.124,0.038,123.16,4
138,Shark Attack - Viceroy Remix,Shark Attack (Viceroy Remix),Grouplove,2014-03-04,233337,7,0.587,0.000304,0.587,0.924,0.00015,0.265,-5.251,0.136,166.101,4
139,Ways to Go,Ways to Go,Grouplove,2014-01-14,215520,6,0.577,0.00338,0.577,0.827,0.000647,0.26,-7.54,0.0365,101.031,4
140,Ways to Go - Everything Everything Remix,Ways to Go,Grouplove,2014-01-14,286272,0,0.597,0.0151,0.597,0.916,0.000283,0.173,-4.628,0.0366,113.023,4
141,Ways to Go - Thom alt-J Remix,Ways to Go,Grouplove,2014-01-14,208968,0,0.546,0.24,0.546,0.714,0.00905,0.153,-6.866,0.0753,144.998,4
142,Ways to Go - Grandtheft Remix,Ways to Go,Grouplove,2014-01-14,203274,1,0.739,0.00424,0.739,0.726,0.00126,0.221,-6.946,0.0455,101.035,4
143,Flowers - Bonus Track,Ways to Go,Grouplove,2014-01-14,254029,7,0.31,0.000649,0.31,0.923,0.0,0.355,-4.389,0.164,206.011,4
144,Ways to Go - Captain Cuts Remix,Ways to Go (Captain Cuts Remix),Grouplove,2013-10-08,240152,12,0.646,0.000381,0.646,0.776,0.0993,0.156,-6.747,0.0349,120.043,4
145,Borderlines and Aliens,Borderlines and Aliens,Grouplove,2013-09-13,230373,0,0.407,0.000809,0.407,0.93,1.43e-05,0.248,-6.298,0.0977,102.57,4
146,Ways to Go - Grandtheft Remix,Ways to Go (Remix),Grouplove,2013-08-13,203274,16,0.739,0.00424,0.739,0.726,0.00126,0.221,-6.946,0.0455,101.035,4
147,Architect,Architect,Grouplove,2013-04-20,234051,35,0.372,0.868,0.372,0.313,6.45e-05,0.115,-9.687,0.0302,97.072,4
148,Make It to Me,Make It to Me,Manchester Orchestra,2013-04-20,233373,37,0.644,0.00416,0.644,0.9,0.0342,0.0908,-7.075,0.0416,144.026,4
149,Tongue Tied,Tongue Tied,Grouplove,2012-03-02,218013,8,0.56,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,4
150,Je Pense Toujours a Toi,Tongue Tied,Grouplove,2012-03-02,142024,2,0.473,0.937,0.473,0.419,0.0809,0.141,-10.23,0.0312,100.732,4
151,Underground,Tongue Tied,Grouplove,2012-03-02,194147,2,0.402,0.468,0.402,0.673,0.000133,0.0918,-6.734,0.0321,136.832,4
152,Tongue Tied - Gigamesh Remix,Tongue Tied (Remix Version),Grouplove,2012-02-21,267865,16,0.742,0.0415,0.742,0.84,0.000519,0.0636,-5.139,0.0613,116.976,4
153,Intro - Spotify Sessions,Spotify Sessions,Grouplove,2011-09-13,164097,5,0.708,0.71,0.708,0.231,0.0,0.31,-16.704,0.926,100.89,3
154,Cruel and Beautiful World - Spotify Sessions,Spotify Sessions,Grouplove,2011-09-13,314404,10,0.466,0.34,0.466,0.299,0.0,0.478,-8.346,0.0706,122.218,3
155,Tongue Tied - Spotify Sessions,Spotify Sessions,Grouplove,2011-09-13,266468,23,0.566,0.0125,0.566,0.804,0.0,0.611,-5.705,0.058,113.926,4
156,Colours - Spotify Sessions,Spotify Sessions,Grouplove,2011-09-13,268427,17,0.468,0.00186,0.468,0.779,0.0,0.669,-4.961,0.0322,96.964,4
157,Colours,Colours,Grouplove,2011-09-13,257786,1,0.529,0.0211,0.529,0.83,0.0,0.0983,-5.428,0.0397,93.933,4
158,Itchin' on a Photograph,Itchin' on a Photograph,Grouplove,2011-06-03,259506,17,0.501,0.137,0.501,0.877,0.0,0.309,-6.369,0.0484,96.993,4
159,Colours,Grouplove,Grouplove,2011-01-25,254440,40,0.527,0.0172,0.527,0.837,0.0,0.136,-5.424,0.0391,93.95,4
160,Naked Kids,Grouplove,Grouplove,2011-01-25,208613,26,0.605,0.137,0.605,0.534,0.0,0.136,-6.843,0.0324,104.978,4
161,Gold Coast,Grouplove,Grouplove,2011-01-25,294746,32,0.623,0.0228,0.623,0.618,0.0,0.115,-6.556,0.0342,129.967,4
162,Getaway Car,Grouplove,Grouplove,2011-01-25,228613,25,0.504,0.0491,0.504,0.689,0.0,0.0816,-5.786,0.0259,144.13,3
163,Don't Say Oh Well,Grouplove,Grouplove,2011-01-25,158240,33,0.374,0.00342,0.374,0.959,0.0,0.0495,-3.796,0.0503,185.052,4
164,Get Giddy,Grouplove,Grouplove,2011-01-25,249533,26,0.508,0.254,0.508,0.569,0.0,0.0803,-5.963,0.0265,132.006,4
