,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
76,The World Is Watching,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,216400,18,0.595,0.000108,0.595,0.662,0.789,0.152,-8.153,0.0282,124.013,4
77,Settle,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,232341,17,0.482,0.00622,0.482,0.773,0.054,0.0841,-5.677,0.0363,131.856,3
78,Spring,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,204308,17,0.638,0.00831,0.638,0.739,0.133,0.115,-7.209,0.0355,125.946,4
79,Pyramid,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,189600,17,0.612,0.000687,0.612,0.722,0.064,0.0932,-7.332,0.0358,141.261,4
80,Beacon,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,204610,17,0.739,0.012,0.739,0.513,0.0815,0.0521,-6.714,0.0439,122.021,4
81,Remember My Name,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,171746,24,0.529,0.0236,0.529,0.71,0.00583,0.145,-6.586,0.155,133.764,4
82,Cigarettes In the Theatre - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,305825,19,0.187,0.000234,0.187,0.898,0.369,0.897,-6.396,0.101,168.871,4
83,Undercover Martyn - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,184575,20,0.441,0.000124,0.441,0.944,0.000856,0.914,-6.492,0.0808,159.983,4
84,Do You Want It All? - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,229186,18,0.468,0.000453,0.468,0.914,0.000556,0.367,-6.494,0.0474,154.017,1
85,This Is the Life - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,199599,18,0.434,3.89e-05,0.434,0.932,0.412,0.708,-5.782,0.0408,136.158,4
86,Something Good Can Work - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,190901,19,0.567,0.00223,0.567,0.944,0.112,0.894,-6.938,0.0534,120.035,4
87,Handshake - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,245249,17,0.536,0.00192,0.536,0.817,0.224,0.901,-7.37,0.0409,131.032,4
88,Costume Party - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,220043,19,0.543,0.00332,0.543,0.875,0.000132,0.969,-5.784,0.0376,142.995,4
89,You're Not Stubborn - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,206320,17,0.53,0.00154,0.53,0.931,0.0,0.969,-6.038,0.0523,131.967,4
90,Settle - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,239006,16,0.266,0.0131,0.266,0.877,0.0121,0.661,-7.077,0.0724,131.946,3
91,"Eat It Up, It's Good for You - Live at Brixton Academy London 2012",Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,252312,18,0.438,0.00106,0.438,0.832,0.00505,0.183,-7.288,0.0476,155.138,4
92,What You Know - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,276600,27,0.477,0.0138,0.477,0.928,0.000194,0.712,-5.925,0.123,139.01,4
93,Sleep Alone - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,235205,17,0.456,0.00138,0.456,0.936,7.42e-05,0.719,-5.515,0.0622,147.918,4
94,Come Back Home - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,258300,16,0.538,0.0155,0.538,0.893,0.000246,0.178,-5.836,0.0672,124.944,4
95,I Can Talk - Live at Brixton Academy London 2012,Beacon (Deluxe Version),Two Door Cinema Club,2012-09-03,217101,18,0.365,0.000156,0.365,0.909,0.00133,0.765,-5.837,0.0872,162.991,4
96,Next Year,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,251480,28,0.566,0.00282,0.566,0.804,0.00105,0.071,-4.783,0.0764,127.568,4
97,Handshake,Beacon + Live at Brixton Academy [Deluxe Edition],Two Door Cinema Club,2012-09-03,211097,12,0.561,9.07e-05,0.561,0.832,0.282,0.433,-5.046,0.0269,130.984,4
