,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
80,Rapper,SYRE,Jaden,2017-11-17,140631,45,0.711,0.0957,0.711,0.842,0.0389,0.16,-5.561,0.0413,139.98,4
81,SYRE,SYRE,Jaden,2017-11-17,234000,45,0.398,0.975,0.398,0.624,0.009,0.128,-8.698,0.098,118.802,5
82,Fire,CTV2,Jaden,2014,133379,36,0.822,0.196,0.822,0.764,0.0,0.717,-5.86,0.33,81.994,4
83,Keep Ya Love,CTV2,Jaden,2014,155300,35,0.643,0.0019,0.643,0.642,0.00378,0.115,-8.044,0.145,167.986,4
84,Zoned,CTV2,Jaden,2014,219689,36,0.496,0.0855,0.496,0.623,4.33e-05,0.635,-8.488,0.146,88.16,4
85,Let It Breathe,CTV2,Jaden,2014,633015,37,0.694,0.322,0.694,0.461,1.93e-05,0.0978,-13.525,0.341,90.129,4
86,Young & Reckless,CTV2,Jaden,2014,163383,31,0.693,0.226,0.693,0.701,0.0,0.297,-7.793,0.31,85.993,4
87,Electric,CTV2,Jaden,2014,221006,34,0.766,0.0804,0.766,0.53,0.0671,0.159,-9.722,0.123,108.042,4
88,PCH,CTV2,Jaden,2014,351202,62,0.642,0.102,0.642,0.44,0.002,0.108,-10.909,0.0745,90.939,4
89,Symba,CTV2,Jaden,2014,185268,37,0.53,0.684,0.53,0.53,0.0,0.108,-9.46,0.334,175.914,4
