,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
70,Her,Her,Kota the Friend,2020-02-14,266000,47,0.77,0.679,0.77,0.462,0.0,0.112,-11.184,0.27,119.834,4
71,Monday,Monday,Kota the Friend,2020-02-10,133758,56,0.823,0.177,0.823,0.63,0.0,0.234,-7.12,0.239,100.03,4
72,Monday - Radio Edit,Monday (Radio Edit),Kota the Friend,2020-02-10,133758,8,0.831,0.168,0.831,0.631,0.0,0.254,-7.187,0.23,100.007,4
73,Volvo,Volvo,Kota the Friend,2020-01-31,180570,43,0.848,0.57,0.848,0.622,0.0,0.126,-8.462,0.494,160.029,4
74,Volvo - Radio Edit,Volvo (Radio Edit),Kota the Friend,2020-01-31,180500,4,0.849,0.545,0.849,0.606,0.0,0.125,-8.511,0.471,159.999,4
75,Berlin,Berlin,Kota the Friend,2019-12-17,98181,49,0.569,0.701,0.569,0.828,0.0,0.107,-4.262,0.386,81.447,4
76,Saturday,Saturday,Kota the Friend,2019-11-29,199703,49,0.64,0.601,0.64,0.638,0.0,0.329,-7.021,0.289,79.981,4
77,Backyard,Backyard,Kota the Friend,2019-05-01,205895,44,0.863,0.335,0.863,0.646,0.0,0.0866,-7.232,0.218,150.012,4
78,Birdie,Birdie,Kota the Friend,2019-04-16,248492,43,0.585,0.82,0.585,0.673,0.0,0.0775,-5.402,0.511,80.497,4
79,Gold,Gold,Silent Titan,2019-04-12,290869,19,0.636,0.2,0.636,0.537,0.0,0.138,-7.436,0.288,80.011,4
80,Boat to Bermuda,Boat to Bermuda,No Suits,2019-04-05,190624,40,0.693,0.239,0.693,0.821,0.0,0.0816,-7.411,0.193,96.0,4
81,Off White,Off White,Kota the Friend,2019-01-16,68470,38,0.754,0.433,0.754,0.664,0.0,0.0916,-5.804,0.764,85.005,4
82,Smile for Me,Smile for Me,Kota the Friend,2018-12-21,209657,40,0.736,0.382,0.736,0.502,0.0,0.173,-8.109,0.144,82.434,4
83,Camp,Camp,Kota the Friend,2018-11-29,218070,40,0.943,0.522,0.943,0.461,2.15e-05,0.0807,-7.217,0.209,130.028,4
84,Colorado,Colorado,Kota the Friend,2018-10-24,206500,69,0.905,0.453,0.905,0.562,0.000285,0.13,-7.884,0.0662,139.997,4
85,Brooklyn Bodega,Brooklyn Bodega,Kota the Friend,2018-09-24,179997,40,0.928,0.529,0.928,0.657,0.0,0.309,-7.487,0.228,140.0,4
86,Rollin',Rollin',A Certain Energy,2018-09-14,229173,21,0.788,0.131,0.788,0.556,2.82e-06,0.0958,-12.995,0.307,109.005,4
87,Philly Jawn,Philly Jawn,Kota the Friend,2018-08-05,206744,55,0.928,0.302,0.928,0.521,9.8e-06,0.0582,-6.717,0.0795,130.011,4
88,Chicago Diner,Chicago Diner,Kota the Friend,2018-08-01,176000,43,0.843,0.577,0.843,0.559,2.35e-05,0.105,-7.876,0.0592,133.02,4
89,Oh Darling How I Love You .,Oh Darling How I Love You .,Kota the Friend,2018-07-09,254980,42,0.589,0.936,0.589,0.176,0.00664,0.0717,-15.771,0.0646,146.693,4
90,Alkaline,Alkaline,Kota the Friend,2018-06-25,185000,45,0.774,0.679,0.774,0.537,5.24e-06,0.173,-6.899,0.297,153.878,4
91,Sun Lady (feat. Ol' soul & Emma),Sun Lady (feat. Ol' soul & Emma),Kota the Friend,2017-05-14,172374,30,0.597,0.68,0.597,0.768,0.0,0.221,-5.911,0.269,133.622,4
92,Like Water,Like Water,Kota the Friend,2017-05-09,196493,46,0.774,0.247,0.774,0.537,0.0,0.112,-6.422,0.041,110.004,4
93,Lawn Chair,Lawn Chair,Kota the Friend,2017-03-28,177507,43,0.589,0.437,0.589,0.652,0.0,0.135,-6.168,0.244,145.756,4
