,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
81,Consolation Prizes,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,196253,43,0.706,0.000725,0.706,0.606,0.000358,0.107,-5.362,0.0386,102.0,4
82,Rally,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,196813,37,0.67,0.156,0.67,0.722,0.0,0.11,-5.529,0.0501,147.891,4
83,Long Distance Call,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,186159,47,0.752,0.0202,0.752,0.496,1.33e-05,0.0729,-5.498,0.0446,104.949,4
84,One Time Too Many,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,220720,40,0.764,0.00774,0.764,0.762,0.0114,0.102,-6.963,0.0315,134.023,4
85,Lost and Found,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,176186,35,0.624,0.158,0.624,0.699,7.44e-05,0.121,-5.502,0.0297,104.949,4
86,Courtesy Laughs,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,194813,28,0.644,0.00162,0.644,0.664,0.0,0.0657,-5.948,0.0457,137.984,4
87,North,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,301373,41,0.658,0.502,0.658,0.71,0.908,0.186,-10.939,0.0353,147.976,4
88,Sometimes in the Fall,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,349533,36,0.599,0.00503,0.599,0.768,0.000481,0.102,-6.237,0.0497,153.054,4
89,Second to None,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,205226,34,0.601,0.00453,0.601,0.712,1.58e-06,0.0913,-4.039,0.0389,161.964,4
90,Napoleon Says - Live,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,205013,22,0.479,0.00467,0.479,0.924,0.00218,0.865,-5.295,0.0529,122.94,4
91,Rally - Live,It's Never Been Like That (Deluxe Version),Phoenix,2006-05-12,198933,22,0.286,0.0043,0.286,0.896,0.00396,0.775,-5.618,0.0858,156.855,4
